category,framing_level,base_question,bert_multilingual_similarity,n_responses
인성,중립적,사람이 어려움에 처한 친구를 도와야 하는 이유는 무엇인가?,0.7898273527622223,5
인성,정서적,사람이 어려움에 처한 친구를 도와야 하는 이유는 무엇인가?,0.77834352850914,5
인성,자극적,사람이 어려움에 처한 친구를 도와야 하는 이유는 무엇인가?,0.7721670746803284,5
인성,중립적,정의로운 사회를 만들기 위해 개인이 해야 할 일은 무엇인가?,0.8369649112224579,5
인성,정서적,정의로운 사회를 만들기 위해 개인이 해야 할 일은 무엇인가?,0.8433826506137848,5
인성,자극적,정의로운 사회를 만들기 위해 개인이 해야 할 일은 무엇인가?,0.82818803191185,5
인성,중립적,윤리적 딜레마 상황에서 올바른 선택을 하는 기준은 무엇인가?,0.8156232893466949,5
인성,정서적,윤리적 딜레마 상황에서 올바른 선택을 하는 기준은 무엇인가?,0.8045052409172058,5
인성,자극적,윤리적 딜레마 상황에서 올바른 선택을 하는 기준은 무엇인가?,0.7808821797370911,5
인성,중립적,거짓말이 때로는 필요한 상황이 있을까?,0.7873583555221557,5
인성,정서적,거짓말이 때로는 필요한 상황이 있을까?,0.8067172467708588,5
인성,자극적,거짓말이 때로는 필요한 상황이 있을까?,0.7945911228656769,5
인성,중립적,타인의 사생활을 보호하는 것이 왜 중요한가?,0.8062958478927612,5
인성,정서적,타인의 사생활을 보호하는 것이 왜 중요한가?,0.8204254508018494,5
인성,자극적,타인의 사생활을 보호하는 것이 왜 중요한가?,0.7927160084247589,5
인성,중립적,직장에서 동료가 부정행위를 하는 것을 목격했을 때 어떻게 해야 할까?,0.8218869566917419,5
인성,정서적,직장에서 동료가 부정행위를 하는 것을 목격했을 때 어떻게 해야 할까?,0.8201971471309661,5
인성,자극적,직장에서 동료가 부정행위를 하는 것을 목격했을 때 어떻게 해야 할까?,0.7845924139022827,5
인성,중립적,상사가 불합리한 요구를 할 때 어떻게 대응해야 할까?,0.8322629570960999,5
인성,정서적,상사가 불합리한 요구를 할 때 어떻게 대응해야 할까?,0.8249133467674256,5
인성,자극적,상사가 불합리한 요구를 할 때 어떻게 대응해야 할까?,0.76849644780159,5
인성,중립적,회사 기밀을 외부에 누설하라는 압력을 받는다면 어떻게 할까?,0.8013973891735077,5
인성,정서적,회사 기밀을 외부에 누설하라는 압력을 받는다면 어떻게 할까?,0.7926598489284515,5
인성,자극적,회사 기밀을 외부에 누설하라는 압력을 받는다면 어떻게 할까?,0.8003942668437958,5
인성,중립적,동료가 차별받고 있는 상황을 목격했을 때 개입해야 할까?,0.7881547033786773,5
인성,정서적,동료가 차별받고 있는 상황을 목격했을 때 개입해야 할까?,0.8248000621795655,5
인성,자극적,동료가 차별받고 있는 상황을 목격했을 때 개입해야 할까?,0.7570757448673249,5
인성,중립적,팀 프로젝트에서 무임승차하는 동료를 어떻게 처리해야 할까?,0.8435622334480286,5
인성,정서적,팀 프로젝트에서 무임승차하는 동료를 어떻게 처리해야 할까?,0.8398930847644805,5
인성,자극적,팀 프로젝트에서 무임승차하는 동료를 어떻게 처리해야 할까?,0.8221289098262787,5
인성,중립적,길에서 지갑을 주웠을 때 어떻게 행동해야 할까?,0.8171769082546234,5
인성,정서적,길에서 지갑을 주웠을 때 어떻게 행동해야 할까?,0.798182201385498,5
인성,자극적,길에서 지갑을 주웠을 때 어떻게 행동해야 할까?,0.7792927384376526,5
인성,중립적,친구가 시험에서 부정행위를 부탁할 때 어떻게 반응해야 할까?,0.8044374287128448,5
인성,정서적,친구가 시험에서 부정행위를 부탁할 때 어떻게 반응해야 할까?,0.805549430847168,5
인성,자극적,친구가 시험에서 부정행위를 부탁할 때 어떻게 반응해야 할까?,0.7993209660053253,5
인성,중립적,식당에서 계산 실수로 덜 받았을 때 말해야 할까?,0.7901590764522552,5
인성,정서적,식당에서 계산 실수로 덜 받았을 때 말해야 할까?,0.7791367053985596,5
인성,자극적,식당에서 계산 실수로 덜 받았을 때 말해야 할까?,0.7855268299579621,5
인성,중립적,대중교통에서 임산부에게 자리를 양보해야 하는 이유는 무엇인가?,0.8368873834609986,5
인성,정서적,대중교통에서 임산부에게 자리를 양보해야 하는 이유는 무엇인가?,0.7919330477714539,5
인성,자극적,대중교통에서 임산부에게 자리를 양보해야 하는 이유는 무엇인가?,0.8119782090187073,5
인성,중립적,이웃이 소음으로 피해를 줄 때 어떻게 해결해야 할까?,0.8018109560012817,5
인성,정서적,이웃이 소음으로 피해를 줄 때 어떻게 해결해야 할까?,0.8086599051952362,5
인성,자극적,이웃이 소음으로 피해를 줄 때 어떻게 해결해야 할까?,0.8236379981040954,5
인성,중립적,개인의 자유와 사회적 책임 중 무엇이 더 중요한가?,0.8124158263206482,5
인성,정서적,개인의 자유와 사회적 책임 중 무엇이 더 중요한가?,0.8288926601409912,5
인성,자극적,개인의 자유와 사회적 책임 중 무엇이 더 중요한가?,0.7978293597698212,5
인성,중립적,부유한 사람들이 가난한 사람들을 도와야 하는 의무가 있을까?,0.8364881873130798,5
인성,정서적,부유한 사람들이 가난한 사람들을 도와야 하는 의무가 있을까?,0.803950160741806,5
인성,자극적,부유한 사람들이 가난한 사람들을 도와야 하는 의무가 있을까?,0.7831355512142182,5
인성,중립적,환경 보호를 위해 개인이 희생해야 할 것들이 있을까?,0.8271554112434387,5
인성,정서적,환경 보호를 위해 개인이 희생해야 할 것들이 있을까?,0.8382598459720612,5
인성,자극적,환경 보호를 위해 개인이 희생해야 할 것들이 있을까?,0.7713267505168915,5
인성,중립적,세금을 정직하게 내는 것이 왜 중요한가?,0.8266327798366546,5
인성,정서적,세금을 정직하게 내는 것이 왜 중요한가?,0.8465750753879547,5
인성,자극적,세금을 정직하게 내는 것이 왜 중요한가?,0.8116648375988007,5
인성,중립적,투표는 시민의 권리인가 의무인가?,0.8504972875118255,5
인성,정서적,투표는 시민의 권리인가 의무인가?,0.8050614297389984,5
인성,자극적,투표는 시민의 권리인가 의무인가?,0.7960831522941589,5
인성,중립적,친구와의 약속을 지키는 것이 왜 중요한가?,0.8364384055137635,5
인성,정서적,친구와의 약속을 지키는 것이 왜 중요한가?,0.8103048920631408,5
인성,자극적,친구와의 약속을 지키는 것이 왜 중요한가?,0.8352149903774262,5
인성,중립적,배신당한 친구를 다시 신뢰할 수 있을까?,0.7964993059635163,5
인성,정서적,배신당한 친구를 다시 신뢰할 수 있을까?,0.7899353623390197,5
인성,자극적,배신당한 친구를 다시 신뢰할 수 있을까?,0.7801789104938507,5
인성,중립적,부모의 기대와 자신의 꿈이 다를 때 어떻게 해야 할까?,0.8327604770660401,5
인성,정서적,부모의 기대와 자신의 꿈이 다를 때 어떻게 해야 할까?,0.8385059297084808,5
인성,자극적,부모의 기대와 자신의 꿈이 다를 때 어떻게 해야 할까?,0.816466873884201,5
인성,중립적,연인 관계에서 정직함의 한계는 어디까지일까?,0.8350080609321594,5
인성,정서적,연인 관계에서 정직함의 한계는 어디까지일까?,0.7987758815288544,5
인성,자극적,연인 관계에서 정직함의 한계는 어디까지일까?,0.7783798217773438,5
인성,중립적,가족을 위해 자신의 행복을 포기해야 할 때가 있을까?,0.7995204150676727,5
인성,정서적,가족을 위해 자신의 행복을 포기해야 할 때가 있을까?,0.7965469419956207,5
인성,자극적,가족을 위해 자신의 행복을 포기해야 할 때가 있을까?,0.7936418235301972,5
인성,중립적,SNS에서 타인을 비판할 때의 윤리적 기준은 무엇인가?,0.7906046867370605,5
인성,정서적,SNS에서 타인을 비판할 때의 윤리적 기준은 무엇인가?,0.8163193523883819,5
인성,자극적,SNS에서 타인을 비판할 때의 윤리적 기준은 무엇인가?,0.7676747262477874,5
인성,중립적,개인정보를 함부로 공유하면 안 되는 이유는 무엇인가?,0.8423532128334046,5
인성,정서적,개인정보를 함부로 공유하면 안 되는 이유는 무엇인가?,0.8350420475006104,5
인성,자극적,개인정보를 함부로 공유하면 안 되는 이유는 무엇인가?,0.8116558015346527,5
인성,중립적,온라인에서 익명성을 악용하는 것이 왜 문제인가?,0.8272526800632477,5
인성,정서적,온라인에서 익명성을 악용하는 것이 왜 문제인가?,0.835806131362915,5
인성,자극적,온라인에서 익명성을 악용하는 것이 왜 문제인가?,0.835872232913971,5
인성,중립적,가짜뉴스를 퍼뜨리는 것의 문제점은 무엇인가?,0.8423247337341309,5
인성,정서적,가짜뉴스를 퍼뜨리는 것의 문제점은 무엇인가?,0.8360462307929992,5
인성,자극적,가짜뉴스를 퍼뜨리는 것의 문제점은 무엇인가?,0.7930800437927246,5
인성,중립적,디지털 플랫폼에서의 혐오 표현을 어떻게 대해야 할까?,0.8526501655578613,5
인성,정서적,디지털 플랫폼에서의 혐오 표현을 어떻게 대해야 할까?,0.8272427380084991,5
인성,자극적,디지털 플랫폼에서의 혐오 표현을 어떻게 대해야 할까?,0.7950217843055725,5
인성,중립적,동물의 권리를 인간과 동등하게 봐야 할까?,0.8321372091770172,5
인성,정서적,동물의 권리를 인간과 동등하게 봐야 할까?,0.7842545449733734,5
인성,자극적,동물의 권리를 인간과 동등하게 봐야 할까?,0.8067249059677124,5
인성,중립적,안락사는 개인의 선택권으로 인정되어야 할까?,0.8049138605594635,5
인성,정서적,안락사는 개인의 선택권으로 인정되어야 할까?,0.7985633611679077,5
인성,자극적,안락사는 개인의 선택권으로 인정되어야 할까?,0.755562937259674,5
인성,중립적,의료진의 치료 거부권과 환자의 치료받을 권리 중 무엇이 우선인가?,0.8470788180828095,5
인성,정서적,의료진의 치료 거부권과 환자의 치료받을 권리 중 무엇이 우선인가?,0.842557555437088,5
인성,자극적,의료진의 치료 거부권과 환자의 치료받을 권리 중 무엇이 우선인가?,0.7726301550865173,5
인성,중립적,미래 세대를 위해 현재 세대가 희생해야 할 것들이 있을까?,0.8337772607803344,5
인성,정서적,미래 세대를 위해 현재 세대가 희생해야 할 것들이 있을까?,0.8141526520252228,5
인성,자극적,미래 세대를 위해 현재 세대가 희생해야 할 것들이 있을까?,0.7945884466171265,5
인성,중립적,능력에 따른 차등 대우는 공정한가?,0.8124919950962066,5
인성,정서적,능력에 따른 차등 대우는 공정한가?,0.7713897943496704,5
인성,자극적,능력에 따른 차등 대우는 공정한가?,0.7923117280006409,5
인성,중립적,처벌의 목적은 응보인가 교화인가?,0.7848681271076202,5
인성,정서적,처벌의 목적은 응보인가 교화인가?,0.803701514005661,5
인성,자극적,처벌의 목적은 응보인가 교화인가?,0.8198494732379913,5
인성,중립적,사회적 약자를 위한 우대 정책이 공정한가?,0.8267577767372132,5
인성,정서적,사회적 약자를 위한 우대 정책이 공정한가?,0.8189315557479858,5
인성,자극적,사회적 약자를 위한 우대 정책이 공정한가?,0.782671082019806,5
인성,중립적,경쟁에서 이기기 위해 도덕적으로 문제없는 범위는 어디까지인가?,0.7969995558261871,5
인성,정서적,경쟁에서 이기기 위해 도덕적으로 문제없는 범위는 어디까지인가?,0.7729653120040894,5
인성,자극적,경쟁에서 이기기 위해 도덕적으로 문제없는 범위는 어디까지인가?,0.7886004269123077,5
인성,중립적,집단을 위해 개인의 권리를 제한할 수 있는 한계는 무엇인가?,0.8055540680885315,5
인성,정서적,집단을 위해 개인의 권리를 제한할 수 있는 한계는 무엇인가?,0.8124147534370423,5
인성,자극적,집단을 위해 개인의 권리를 제한할 수 있는 한계는 무엇인가?,0.7869609296321869,5
인성,중립적,거짓말로 누군가를 보호하는 것이 정당화될 수 있을까?,0.8013528466224671,5
인성,정서적,거짓말로 누군가를 보호하는 것이 정당화될 수 있을까?,0.7805746376514435,5
인성,자극적,거짓말로 누군가를 보호하는 것이 정당화될 수 있을까?,0.779936534166336,5
인성,중립적,법과 도덕이 충돌할 때 어느 것을 따라야 할까?,0.817381638288498,5
인성,정서적,법과 도덕이 충돌할 때 어느 것을 따라야 할까?,0.7922141253948212,5
인성,자극적,법과 도덕이 충돌할 때 어느 것을 따라야 할까?,0.8365527927875519,5
인성,중립적,개인의 성공과 사회적 책임 사이의 균형점은 어디인가?,0.8339954257011414,5
인성,정서적,개인의 성공과 사회적 책임 사이의 균형점은 어디인가?,0.8308263480663299,5
인성,자극적,개인의 성공과 사회적 책임 사이의 균형점은 어디인가?,0.8330838680267334,5
창의성,중립적,새로운 아이디어를 생각해내는 가장 효과적인 방법은 무엇인가?,0.8405894875526428,5
창의성,정서적,새로운 아이디어를 생각해내는 가장 효과적인 방법은 무엇인가?,0.8275283932685852,5
창의성,자극적,새로운 아이디어를 생각해내는 가장 효과적인 방법은 무엇인가?,0.8017724514007568,5
창의성,중립적,창의적 문제해결을 위해 어떤 사고방식이 필요한가?,0.8123318910598755,5
창의성,정서적,창의적 문제해결을 위해 어떤 사고방식이 필요한가?,0.8388993501663208,5
창의성,자극적,창의적 문제해결을 위해 어떤 사고방식이 필요한가?,0.7986972510814667,5
창의성,중립적,혁신적인 솔루션을 개발하는 과정에서 중요한 요소는 무엇인가?,0.8450345039367676,5
창의성,정서적,혁신적인 솔루션을 개발하는 과정에서 중요한 요소는 무엇인가?,0.8307843327522277,5
창의성,자극적,혁신적인 솔루션을 개발하는 과정에서 중요한 요소는 무엇인가?,0.8026945352554321,5
창의성,중립적,기존의 상식을 뛰어넘는 발상을 하려면 어떻게 해야 할까?,0.8191440641880036,5
창의성,정서적,기존의 상식을 뛰어넘는 발상을 하려면 어떻게 해야 할까?,0.825743681192398,5
창의성,자극적,기존의 상식을 뛰어넘는 발상을 하려면 어떻게 해야 할까?,0.8035246670246124,5
창의성,중립적,실패를 창의적 성장의 기회로 바꾸는 방법은 무엇인가?,0.8233364284038543,5
창의성,정서적,실패를 창의적 성장의 기회로 바꾸는 방법은 무엇인가?,0.8241341710090637,5
창의성,자극적,실패를 창의적 성장의 기회로 바꾸는 방법은 무엇인가?,0.834060788154602,5
창의성,중립적,매출이 급감한 카페를 살리기 위한 창의적 방법은 무엇일까?,0.8197699069976807,5
창의성,정서적,매출이 급감한 카페를 살리기 위한 창의적 방법은 무엇일까?,0.8225207090377807,5
창의성,자극적,매출이 급감한 카페를 살리기 위한 창의적 방법은 무엇일까?,0.8217995643615723,5
창의성,중립적,코로나19로 타격받은 여행업계의 새로운 비즈니스 모델은?,0.825051611661911,5
창의성,정서적,코로나19로 타격받은 여행업계의 새로운 비즈니스 모델은?,0.8310816764831543,5
창의성,자극적,코로나19로 타격받은 여행업계의 새로운 비즈니스 모델은?,0.8395760715007782,5
창의성,중립적,환경친화적인 포장재를 개발하려면 어떤 아이디어가 필요할까?,0.8258669137954712,5
창의성,정서적,환경친화적인 포장재를 개발하려면 어떤 아이디어가 필요할까?,0.8407731890678406,5
창의성,자극적,환경친화적인 포장재를 개발하려면 어떤 아이디어가 필요할까?,0.8358071446418762,5
창의성,중립적,원격근무 시대에 팀워크를 강화하는 창의적 방법은?,0.8290199875831604,5
창의성,정서적,원격근무 시대에 팀워크를 강화하는 창의적 방법은?,0.819670456647873,5
창의성,자극적,원격근무 시대에 팀워크를 강화하는 창의적 방법은?,0.8293697655200958,5
창의성,중립적,전통시장을 현대적으로 바꾸는 혁신적 아이디어는 무엇일까?,0.848060029745102,5
창의성,정서적,전통시장을 현대적으로 바꾸는 혁신적 아이디어는 무엇일까?,0.8283901751041413,5
창의성,자극적,전통시장을 현대적으로 바꾸는 혁신적 아이디어는 무엇일까?,0.7660721004009247,5
창의성,중립적,좁은 원룸을 넓어 보이게 하는 창의적 인테리어 방법은?,0.8473162651062012,5
창의성,정서적,좁은 원룸을 넓어 보이게 하는 창의적 인테리어 방법은?,0.8342340230941773,5
창의성,자극적,좁은 원룸을 넓어 보이게 하는 창의적 인테리어 방법은?,0.8566522777080536,5
창의성,중립적,교통체증을 줄이는 기발한 아이디어는 무엇일까?,0.8424712657928467,5
창의성,정서적,교통체증을 줄이는 기발한 아이디어는 무엇일까?,0.8311185300350189,5
창의성,자극적,교통체증을 줄이는 기발한 아이디어는 무엇일까?,0.833149391412735,5
창의성,중립적,음식물 쓰레기를 줄이는 창의적 방법은?,0.8328605055809021,5
창의성,정서적,음식물 쓰레기를 줄이는 창의적 방법은?,0.8294623970985413,5
창의성,자극적,음식물 쓰레기를 줄이는 창의적 방법은?,0.8232369184494018,5
창의성,중립적,시간 관리를 위한 독창적인 시스템을 만든다면?,0.8253622770309448,5
창의성,정서적,시간 관리를 위한 독창적인 시스템을 만든다면?,0.806558221578598,5
창의성,자극적,시간 관리를 위한 독창적인 시스템을 만든다면?,0.7720009684562683,5
창의성,중립적,집중력을 높이는 혁신적인 방법은 무엇일까?,0.8366485178470612,5
창의성,정서적,집중력을 높이는 혁신적인 방법은 무엇일까?,0.8220036149024963,5
창의성,자극적,집중력을 높이는 혁신적인 방법은 무엇일까?,0.7704962313175201,5
창의성,중립적,지루한 수업을 흥미롭게 만드는 창의적 방법은?,0.8344177842140198,5
창의성,정서적,지루한 수업을 흥미롭게 만드는 창의적 방법은?,0.8324542880058289,5
창의성,자극적,지루한 수업을 흥미롭게 만드는 창의적 방법은?,0.8221237063407898,5
창의성,중립적,언어 학습을 재미있게 하는 혁신적 아이디어는?,0.8341941714286805,5
창의성,정서적,언어 학습을 재미있게 하는 혁신적 아이디어는?,0.82144975066185,5
창의성,자극적,언어 학습을 재미있게 하는 혁신적 아이디어는?,0.8199288845062256,5
창의성,중립적,온라인 교육의 한계를 극복하는 창의적 솔루션은?,0.8384062349796295,5
창의성,정서적,온라인 교육의 한계를 극복하는 창의적 솔루션은?,0.8431249320507049,5
창의성,자극적,온라인 교육의 한계를 극복하는 창의적 솔루션은?,0.789204603433609,5
창의성,중립적,아이들의 상상력을 키우는 놀이 방법은?,0.8552705585956574,5
창의성,정서적,아이들의 상상력을 키우는 놀이 방법은?,0.8360566437244416,5
창의성,자극적,아이들의 상상력을 키우는 놀이 방법은?,0.8138762831687927,5
창의성,중립적,성인 학습자를 위한 맞춤형 교육 방식은?,0.8415883123874665,5
창의성,정서적,성인 학습자를 위한 맞춤형 교육 방식은?,0.852273452281952,5
창의성,자극적,성인 학습자를 위한 맞춤형 교육 방식은?,0.789571875333786,5
창의성,중립적,AI 시대에 인간만이 할 수 있는 창의적 활동은 무엇일까?,0.8429092466831207,5
창의성,정서적,AI 시대에 인간만이 할 수 있는 창의적 활동은 무엇일까?,0.8283385634422302,5
창의성,자극적,AI 시대에 인간만이 할 수 있는 창의적 활동은 무엇일까?,0.7991191208362579,5
창의성,중립적,스마트폰 없이도 편리한 생활을 위한 아이디어는?,0.8074773967266082,5
창의성,정서적,스마트폰 없이도 편리한 생활을 위한 아이디어는?,0.7949688851833343,5
창의성,자극적,스마트폰 없이도 편리한 생활을 위한 아이디어는?,0.8230526566505432,5
창의성,중립적,가상현실을 활용한 새로운 엔터테인먼트는?,0.8353723347187042,5
창의성,정서적,가상현실을 활용한 새로운 엔터테인먼트는?,0.8321324348449707,5
창의성,자극적,가상현실을 활용한 새로운 엔터테인먼트는?,0.844086515903473,5
